Date,ggbr,itub,rapt,romi,Wweg,ibov
2020-01-02,14.55866241455078,33.13774490356445,11.99250602722168,8.57430362701416,16.739707946777344,118573.0
2020-01-03,14.320226669311523,32.789207458496094,12.067981719970703,8.464884757995605,16.525941848754883,117707.0
2020-01-06,14.285161972045898,32.301246643066406,11.933798789978027,8.410178184509277,16.568696975708008,116878.0
2020-01-07,14.509572982788086,31.55188369750977,12.067981719970703,8.300761222839355,16.696949005126953,116662.0
2020-01-08,14.565675735473633,31.03777885437012,11.96734619140625,8.604144096374512,16.065176010131836,116247.0
2020-01-09,14.488534927368164,30.419116973876957,12.319571495056152,8.584250450134277,15.82766342163086,115947.0
2020-01-10,14.684889793395996,30.14899444580078,12.185391426086426,8.842872619628906,16.15068244934082,115503.0
2020-01-13,15.31605052947998,30.54981803894043,12.076367378234863,9.181068420410156,16.302684783935547,117325.0
2020-01-14,15.021510124206545,30.54981803894043,12.210551261901855,9.22085666656494,16.62569808959961,117632.0
2020-01-15,14.797100067138672,30.175146102905277,12.084755897521973,8.94731616973877,16.73495101928711,116414.0
2020-01-16,14.937355041503906,30.236146926879883,11.900253295898438,8.927422523498535,17.038963317871094,116704.0
2020-01-17,15.126703262329102,30.44525718688965,12.504073143005373,9.006996154785156,17.480731964111328,118478.0
2020-01-20,15.617603302001951,29.826580047607425,12.512458801269531,9.051758766174316,18.01751136779785,118862.0
2020-01-21,15.28799819946289,29.190486907958984,12.403437614440918,9.200963020324709,17.808502197265625,117026.0
2020-01-22,15.47734260559082,29.364770889282227,12.462141036987305,9.250697135925291,18.478275299072266,118391.0
2020-01-23,15.540459632873535,30.06185531616211,12.487299919128418,9.176095962524414,18.83454132080078,119528.0
2020-01-24,15.196831703186035,29.835302352905277,12.185391426086426,9.22085666656494,19.680078506469727,118376.0
2020-01-27,13.990623474121094,29.190486907958984,11.573186874389648,8.917474746704102,19.46156883239746,114482.0
2020-01-28,14.165943145751951,29.181779861450195,11.99250602722168,8.912501335144043,19.955589294433597,116479.0
